star_score,score_reple,writer_id,write_date
10,이 영화를 많은 사람들이 보고 느끼고 공감하며 함께 흐느꼈스면 합니다.,cris****,2020.01.23 10:52
10,피로 쓰여져가는 우리의 자유,숑숑키(seoy****),2020.01.23 10:59
10,모든 아이들이 파란사마를 볼 수 있길..,우연이(jenn****),2020.01.23 11:41
10,우리가 누리는 사소한 것들이 얼마나소중한 것인지 뼈저리게 느끼게 해 준다.,YK31(fito****),2020.01.23 15:29
